mien,khu_vuc,tinh,name,name_short,name_global,tax,address,representative,phone,active_date,manage_by,category,status,last_update,conpany_briefcase,career_code,career_name,slug
Miền Trung,Miền Trung,Huế,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ TRÌNH LOAN,CÔNG TY TNHH MTV TM DV TRÌNH LOAN,,3301580617,"118 Lạc Long Quân, Thị Trấn Lăng Cô, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",TRẦN THỊ LOAN,0906477435,2015-12-25,Đội Thuế huyện Phú Lộc,Công ty trách nhiệm hữu hạn ngoài NN,Ngừng hoạt động và đã đóng MST,2025-05-29 23:25:01,Bán buôn thực phẩm,"4543, 4632, 4633, 4933, 5229","Bán phụ tùng và các bộ phận phụ trợ của mô tô, xe máy, Bán buôn thực phẩm, Bán buôn đồ uống, Vận tải hàng hóa bằng đường bộ, Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải",/3301580617-cong-ty-tnhh-mot-thanh-vien-thuong-mai-dich-vu-trinh-loan
Miền Trung,Miền Trung,Huế,DOANH NGHIỆP TƯ NHÂN KHÁCH SẠN LỢI THÀNH ĐẠT,,,3301585559,"302 Lạc Long Quân, Thị Trấn Lăng Cô, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",PHẠM LỢI,0985642600,2016-03-16,Đội Thuế huyện Phú Lộc,Doanh nghiệp tư nhân,Đang hoạt động (đã được cấp GCN ĐKT),2025-05-29 23:24:01,Dịch vụ lưu trú ngắn ngày,"4932, 5510, 5610","Vận tải hành khách đường bộ khác, Dịch vụ lưu trú ngắn ngày, Nhà hàng và các dịch vụ ăn uống phục vụ lưu động",/3301585559-doanh-nghiep-tu-nhan-khach-san-loi-thanh-dat
Miền Trung,Miền Trung,Huế,DOANH NGHIỆP TN NUÔI TRỒNG THỦY SẢN TRỌNG PHÚ,,,3301592041,"142 Lạc Long Quân, Thị Trấn Lăng Cô, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",Võ Đình Phú,0903356782,2016-07-12,Đội Thuế huyện Phú Lộc,Doanh nghiệp tư nhân,Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,2025-05-29 23:17:02,Nuôi trồng thuỷ sản nội địa,"0312, 0322","Khai thác thuỷ sản nội địa, Nuôi trồng thuỷ sản nội địa",/3301592041-doanh-nghiep-tn-nuoi-trong-thuy-san-trong-phu
Miền Trung,Miền Trung,Huế,DOANH NGHIỆP TƯ NHÂN HÀNG VÀNG LÊ THỊ LOAN,,,3301561879,"121 Lạc Long Quân, tổ dân phố Lập An, Thị Trấn Lăng Cô, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",LÊ THỊ LOAN,01216848631,2015-02-05,Đội Thuế huyện Phú Lộc,Doanh nghiệp tư nhân,Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,2025-03-24 16:38:01,Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh,4773,Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh,/3301561879-doanh-nghiep-tu-nhan-hang-vang-le-thi-loan
Miền Trung,Miền Trung,Huế,DOANH NGHIỆP TƯ NHÂN THƯƠNG MẠI DỊCH VỤ THIÊN LY,DNTN THIÊN LY,,3301523295,"225 Lạc Long Quân, Thị Trấn Lăng Cô, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",NGUYỄN VĂN CƯỜNG,0914351509,2013-10-08,Đội Thuế huyện Phú Lộc,,Ngừng hoạt động và đã đóng MST,2025-03-24 12:55:01,"Sản xuất đồ uống không cồn, nước khoáng",1104,"Sản xuất đồ uống không cồn, nước khoáng",/3301523295-doanh-nghiep-tu-nhan-thuong-mai-dich-vu-thien-ly
Miền Trung,Miền Trung,Huế,DOANH NGHIỆP TƯ NHÂN SEA SUNG,DNTN SEA SUNG,SEA SUNG PRIVATE ENTERPRISE,3301522615,"430 Lạc Long Quân, Thôn Loan Lý, Thị Trấn Lăng Cô, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",Nguyễn Hoàng Vũ,0906525919,2013-09-11,Đội Thuế huyện Phú Lộc,Doanh nghiệp tư nhân,Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,2025-03-24 09:48:01,Sản xuất đồ gỗ xây dựng,"1621, 1622, 4649","Sản xuất gỗ dán, gỗ lạng, ván ép và ván mỏng khác, Sản xuất đồ gỗ xây dựng, Bán buôn đồ dùng khác cho gia đình",/3301522615-doanh-nghiep-tu-nhan-sea-sung
Miền Trung,Miền Trung,Huế,DOANH NGHIỆP TƯ NHÂN THƯƠNG MẠI DỊCH VỤ LẬP AN,,,3301542594,"200 Lạc Long Quân, Thị Trấn Lăng Cô, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",NGUYỄN VĂN TOÀN,0543873616,2014-02-25,Đội Thuế huyện Phú Lộc,Doanh nghiệp tư nhân,Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,2025-03-24 08:05:02,Hoạt động dịch vụ lâm nghiệp,"0210, 0221, 0240, 0810, 3100, 4100, 4210, 4932, 4933","Trồng rừng và chăm sóc rừng, Khai thác gỗ, Hoạt động dịch vụ lâm nghiệp, Khai thác đá, cát, sỏi, đất sét, Sản xuất giường, tủ, bàn, ghế, Xây dựng nhà các loại, Xây dựng công trình đường sắt và đường bộ, Vận tải hành khách đường bộ khác, Vận tải hàng hóa bằng đường bộ",/3301542594-doanh-nghiep-tu-nhan-thuong-mai-dich-vu-lap-an
Miền Trung,Miền Trung,Huế,DOANH NGHIỆP TƯ NHÂN KÝ LỢI,,,3301570633,"317 Lạc Long Quân, Thị Trấn Lăng Cô, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",LÊ KÝ,0934384301,2015-10-15,Đội Thuế huyện Phú Lộc,Doanh nghiệp tư nhân,Đang hoạt động (đã được cấp GCN ĐKT),2025-03-24 03:46:01,Bán phụ tùng và các bộ phận phụ trợ của ô tô và xe có động cơ khác,"4530, 4799","Bán phụ tùng và các bộ phận phụ trợ của ô tô và xe có động cơ khác, Bán lẻ hình thức khác chưa được phân vào đâu",/3301570633-doanh-nghiep-tu-nhan-ky-loi
Miền Trung,Miền Trung,Huế,CÔNG TY TNHH MỘT THÀNH VIÊN MỘC LAN LĂNG CÔ,,,3301597635,"476 Lạc Long Quân, Thị Trấn Lăng Cô, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",Nguyễn Quang Hải,0912736746,2016-11-15,Đội Thuế huyện Phú Lộc,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),2025-03-23 18:25:01,Dịch vụ lưu trú ngắn ngày,"5510, 5610, 5630, 7710, 7912","Dịch vụ lưu trú ngắn ngày, Nhà hàng và các dịch vụ ăn uống phục vụ lưu động, Dịch vụ phục vụ đồ uống, Cho thuê xe có động cơ, Điều hành tua du lịch",/3301597635-cong-ty-tnhh-mot-thanh-vien-moc-lan-lang-co
Miền Trung,Miền Trung,Huế,CÔNG TY CỔ PHẦN DU LỊCH SINH THÁI TRẦN BÁ,,,3301628354,"Tổ Dân Phố Lập An, Thị Trấn Lăng Cô, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",TRẦN BÁ,,2018-05-23,Đội Thuế huyện Phú Lộc,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),2025-03-23 16:09:01,Dịch vụ lưu trú ngắn ngày,"0118, 0119, 0121, 0123, 0146, 0149, 4633, 4711, 4773, 5510, 5610, 5621, 5629, 5630","Trồng rau, đậu các loại và trồng hoa, cây cảnh, Trồng cây hàng năm khác, Trồng cây ăn quả, Trồng cây điều, Chăn nuôi gia cầm, Chăn nuôi khác, Bán buôn đồ uống, Bán lẻ lương thực, thực phẩm, đồ uống, thuốc lá, thuốc lào chiếm tỷ trọng lớn trong các cửa hàng kinh doanh tổng hợp, Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh, Dịch vụ lưu trú ngắn ngày, Nhà hàng và các dịch vụ ăn uống phục vụ lưu động, Cung cấp dịch vụ ăn uống theo hợp đồng không thường xuyên với khách hàng (phục vụ tiệc, hội họp, đám cưới...), Dịch vụ ăn uống khác, Dịch vụ phục vụ đồ uống",/3301628354-cong-ty-co-phan-du-lich-sinh-thai-tran-ba
