mien,khu_vuc,tinh,name,name_short,name_global,tax,address,representative,phone,active_date,manage_by,category,status,last_update,conpany_briefcase,career_code,career_name,slug
Miền Trung,Miền Trung,Huế,CÔNG TY TNHH MTV QUẢNG CÁO VÀ THƯƠNG MẠI LÊ HOÀNG,,,3301609601,"23 Hiền Sỹ, Thị Trấn Phong Điền, Huyện Phong Điền, Tỉnh Thừa Thiên Huế, Việt Nam",LÊ ĐĂNG GÔN,0912840890,2017-05-22,Thị xã Phong Điền - Đội Thuế liên huyện Hương Điền,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),2025-03-22 09:15:02,Quảng cáo,"1811, 1812, 2511, 3312, 3313, 3314, 4101, 4102, 4321, 4330, 4390, 4649, 7310, 7410, 7420, 7730, 8130, 8219, 8230","In ấn, Dịch vụ liên quan đến in, Sản xuất các cấu kiện kim loại, Sửa chữa máy móc, thiết bị, Sửa chữa thiết bị điện tử và quang học, Sửa chữa thiết bị điện, Xây dựng nhà để ở, Xây dựng nhà không để ở, Lắp đặt hệ thống điện, Hoàn thiện công trình xây dựng, Hoạt động xây dựng chuyên dụng khác, Bán buôn đồ dùng khác cho gia đình, Quảng cáo, Hoạt động thiết kế chuyên dụng, Hoạt động nhiếp ảnh, Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác, Dịch vụ chăm sóc và duy trì cảnh quan, Photo, chuẩn bị tài liệu và các hoạt động hỗ trợ văn phòng đặc biệt khác, Tổ chức giới thiệu và xúc tiến thương mại",/3301609601-cong-ty-tnhh-mtv-quang-cao-va-thuong-mai-le-hoang
Miền Trung,Miền Trung,Huế,BƯU ĐIỆN HUYỆN PHONG ĐIỀN - BƯU ĐIỆN TỈNH THỪA THIÊN HUẾ,,,3300525229-002,"128 đường Phò Trạch, Thị Trấn Phong Điền, Huyện Phong Điền, Tỉnh Thừa Thiên Huế, Việt Nam",TRẦN VĂN TẤN,02343836666,2015-10-01,Thành phố Huế - VP Chi cục Thuế khu vực XII,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),2025-03-22 08:42:01,Bưu chính,"1701, 1812, 3290, 4520, 4610, 4632, 4633, 4641, 4649, 4773, 4791, 4933, 5022, 5210, 5229, 5310, 5320, 5510, 5610, 5812, 6190, 6209, 6311, 6312, 6419, 6499, 6619, 6622, 6629, 6810, 7020, 7310, 7410, 7490, 7710, 7730, 7911, 7912, 7990, 8230, 8291, 8292, 8299, 8559, 9200","Sản xuất bột giấy, giấy và bìa, Dịch vụ liên quan đến in, Sản xuất khác chưa được phân vào đâu, Bảo dưỡng, sửa chữa ô tô và xe có động cơ khác, Đại lý, môi giới, đấu giá, Bán buôn thực phẩm, Bán buôn đồ uống, Bán buôn vải, hàng may sẵn, giày dép, Bán buôn đồ dùng khác cho gia đình, Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh, Bán lẻ theo yêu cầu đặt hàng qua bưu điện hoặc internet, Vận tải hàng hóa bằng đường bộ, Vận tải hàng hóa đường thuỷ nội địa, Kho bãi và lưu giữ hàng hóa, Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải, Bưu chính, Chuyển phát, Dịch vụ lưu trú ngắn ngày, Nhà hàng và các dịch vụ ăn uống phục vụ lưu động, Xuất bản các danh mục chỉ dẫn và địa chỉ, Hoạt động viễn thông khác, Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính, Xử lý dữ liệu, cho thuê và các hoạt động liên quan, Cổng thông tin, Hoạt động trung gian tiền tệ khác, Hoạt động dịch vụ tài chính khác chưa được phân vào đâu (trừ bảo hiểm và bảo hiểm xã hội), Hoạt động hỗ trợ dịch vụ tài chính chưa được phân vào đâu, Hoạt động của đại lý và môi giới bảo hiểm, Hoạt động hỗ trợ khác cho bảo hiểm và bảo hiểm xã hội, Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê, Hoạt động tư vấn quản lý, Quảng cáo, Hoạt động thiết kế chuyên dụng, Hoạt động chuyên môn, khoa học và công nghệ khác chưa được phân vào đâu, Cho thuê xe có động cơ, Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác, Đại lý du lịch, Điều hành tua du lịch, Dịch vụ đặt chỗ và các dịch vụ hỗ trợ liên quan đến quảng bá và tổ chức tua du lịch, Tổ chức giới thiệu và xúc tiến thương mại, Hoạt động dịch vụ hỗ trợ thanh toán, tín dụng, Dịch vụ đóng gói, Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu, Giáo dục khác chưa được phân vào đâu, Hoạt động xổ số, cá cược và đánh bạc",/3300525229-002-buu-dien-huyen-phong-dien-buu-dien-tinh-thua-thien-hue
Miền Trung,Miền Trung,Huế,"CÔNG TY CP ĐẦU TƯ XÂY DỰNG, THƯƠNG MẠI VÀ CÔNG NGHỆ HÀ NỘI - CHI NHÁNH THỪA THIÊN HUẾ",,,0101452901-001,"Số 285 đường Phò Trạch, Thị Trấn Phong Điền, Huyện Phong Điền, Tỉnh Thừa Thiên Huế, Việt Nam",DƯƠNG VIẾT DŨNG,,2018-08-02,Thành phố Huế - VP Chi cục Thuế khu vực XII,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),2025-03-21 00:39:02,"Khai thác đá, cát, sỏi, đất sét","0810, 2392, 2399, 2420, 2591, 3510, 4100, 4210, 4220, 4290, 4312, 4330, 4610, 4662, 4759, 5510, 6619, 6810, 7110, 7730, 7912","Khai thác đá, cát, sỏi, đất sét, Sản xuất vật liệu xây dựng từ đất sét, Sản xuất sản phẩm từ chất khoáng phi kim loại khác chưa được phân vào đâu, Sản xuất kim loại màu và kim loại quý, Rèn, dập, ép và cán kim loại; luyện bột kim loại, Sản xuất, truyền tải và phân phối điện, Xây dựng nhà các loại, Xây dựng công trình đường sắt và đường bộ, Xây dựng công trình công ích, Xây dựng công trình kỹ thuật dân dụng khác, Chuẩn bị mặt bằng, Hoàn thiện công trình xây dựng, Đại lý, môi giới, đấu giá, Bán buôn kim loại và quặng kim loại, Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu trong các cửa hàng chuyên doanh, Dịch vụ lưu trú ngắn ngày, Hoạt động hỗ trợ dịch vụ tài chính chưa được phân vào đâu, Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê, Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan, Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác, Điều hành tua du lịch",/0101452901-001-cong-ty-cp-dau-tu-xay-dung-thuong-mai-va-cong-nghe-ha-noi-chi-nhanh-thua-thien-hue
Miền Trung,Miền Trung,Huế,CÔNG TY CỔ PHẦN HƯNG NGUYÊN CHI NHÁNH PHONG ĐIỀN,,,3300378849-001,"Thôn Trạch Thượng I, Thị Trấn Phong Điền, Huyện Phong Điền, Tỉnh Thừa Thiên Huế, Việt Nam",NGUYỄN XUÂN HÙNG,0543537123,2007-01-16,Cục Thuế Tỉnh TT-Huế,Công ty cổ phần ngoài NN,Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,2024-06-20 01:12:05,"Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh","4290, 4312, 4321, 4322, 4329, 4330, 4741, 4752, 4932, 4933, 9521","Xây dựng công trình kỹ thuật dân dụng khác, Chuẩn bị mặt bằng, Lắp đặt hệ thống điện, Lắp đặt hệ thống cấp, thoát nước, lò sưởi và điều hoà không khí, Lắp đặt hệ thống xây dựng khác, Hoàn thiện công trình xây dựng, Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh, Bán lẻ đồ ngũ kim, sơn, kính và thiết bị lắp đặt khác trong xây dựng trong các cửa hàng chuyên doanh, Vận tải hành khách đường bộ khác, Vận tải hàng hóa bằng đường bộ, Sửa chữa thiết bị nghe nhìn điện tử gia dụng",/3300378849-001-cong-ty-co-phan-hung-nguyen-chi-nhanh-phong-dien
Miền Trung,Miền Trung,Huế,CÔNG TY TRÁCH NHIỆM HỮU HẠN ĐẦU TƯ THƯƠNG MẠI QUANG HÒA,,,3301624649,"Thôn Trạch Thượng I, Thị Trấn Phong Điền, Huyện Phong Điền, Tỉnh Thừa Thiên Huế, Việt Nam",LÊ THỪA PHƯỚC,0935431601,2018-03-05,Thị xã Phong Điền - Đội Thuế liên huyện Hương Điền,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,2025-03-20 08:29:01,"Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan","4543, 4610, 4661, 4663, 4752, 5229, 7911, 7912, 7920","Bán phụ tùng và các bộ phận phụ trợ của mô tô, xe máy, Đại lý, môi giới, đấu giá, Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan, Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng, Bán lẻ đồ ngũ kim, sơn, kính và thiết bị lắp đặt khác trong xây dựng trong các cửa hàng chuyên doanh, Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải, Đại lý du lịch, Điều hành tua du lịch, Dịch vụ hỗ trợ liên quan đến quảng bá và tổ chức tua du lịch",/3301624649-cong-ty-trach-nhiem-huu-han-dau-tu-thuong-mai-quang-hoa
Miền Trung,Miền Trung,Huế,CÔNG TY CỔ PHẦN XÂY DỰNG TỔNG HỢP THIÊN HÀ,"THIENHA CG.,JSC",THIEN HA CONSTRUCTION GENERAL JOINT STOCK COMPANY,3301515664,"Thôn Khánh Mỹ, Thị Trấn Phong Điền, Huyện Phong Điền, Tỉnh Thừa Thiên Huế, Việt Nam",PHAN VĂN BÁ,,2013-03-20,Thị xã Phong Điền - Đội Thuế liên huyện Hương Điền,Công ty cổ phần ngoài NN,Không hoạt động tại địa chỉ đã đăng ký,2025-03-19 10:25:01,Xây dựng nhà các loại,"4100, 4210, 4220, 4290, 4311, 4312, 4321, 4322, 4329, 4330, 4663, 4933, 7020, 7730","Xây dựng nhà các loại, Xây dựng công trình đường sắt và đường bộ, Xây dựng công trình công ích, Xây dựng công trình kỹ thuật dân dụng khác, Phá dỡ, Chuẩn bị mặt bằng, Lắp đặt hệ thống điện, Lắp đặt hệ thống cấp, thoát nước, lò sưởi và điều hoà không khí, Lắp đặt hệ thống xây dựng khác, Hoàn thiện công trình xây dựng, Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng, Vận tải hàng hóa bằng đường bộ, Hoạt động tư vấn quản lý, Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác",/3301515664-cong-ty-co-phan-xay-dung-tong-hop-thien-ha
Miền Trung,Miền Trung,Huế,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XÂY DỰNG VĨNH HẢI TẠI PHONG ĐIỀN,,,3301343535-004,"137 Văn Lang, Thị Trấn Phong Điền, Huyện Phong Điền, Tỉnh Thừa Thiên Huế, Việt Nam",NGUYỄN ĐỨC TÀI,0543751799,2016-03-07,Thị xã Phong Điền - Đội Thuế liên huyện Hương Điền,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),2025-03-19 02:48:02,Xây dựng công trình kỹ thuật dân dụng khác,"1622, 2395, 2592, 3100, 4100, 4210, 4290, 4311, 4312, 4321, 4322, 4330, 4663, 4933, 7710","Sản xuất đồ gỗ xây dựng, Sản xuất bê tông và các sản phẩm từ xi măng và thạch cao, Gia công cơ khí; xử lý và tráng phủ kim loại, Sản xuất giường, tủ, bàn, ghế, Xây dựng nhà các loại, Xây dựng công trình đường sắt và đường bộ, Xây dựng công trình kỹ thuật dân dụng khác, Phá dỡ, Chuẩn bị mặt bằng, Lắp đặt hệ thống điện, Lắp đặt hệ thống cấp, thoát nước, lò sưởi và điều hoà không khí, Hoàn thiện công trình xây dựng, Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng, Vận tải hàng hóa bằng đường bộ, Cho thuê xe có động cơ",/3301343535-004-chi-nhanh-cong-ty-co-phan-dau-tu-va-xay-dung-vinh-hai-tai-phong-dien
Miền Trung,Miền Trung,Huế,CHI NHÁNH CÔNG TY CỔ PHẦN TẬP ĐOÀN HOA SEN TẠI PHONG ĐIỀN - THỪA THIÊN HUẾ,,,3700381324-294,"Tổ dân phố Khánh Mỹ, Thị Trấn Phong Điền, Huyện Phong Điền, Tỉnh Thừa Thiên Huế, Việt Nam",PHAN NHƯ ĐÁNG,0935119890,2017-04-04,Thành phố Huế - VP Chi cục Thuế khu vực XII,Công ty cổ phần ngoài NN,Ngừng hoạt động và đã đóng MST,2025-03-17 17:20:01,Gia công cơ khí; xử lý và tráng phủ kim loại,"2220, 2392, 2591, 2592, 4662, 4663, 5210","Sản xuất sản phẩm từ plastic, Sản xuất vật liệu xây dựng từ đất sét, Rèn, dập, ép và cán kim loại; luyện bột kim loại, Gia công cơ khí; xử lý và tráng phủ kim loại, Bán buôn kim loại và quặng kim loại, Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng, Kho bãi và lưu giữ hàng hóa",/3700381324-294-chi-nhanh-cong-ty-co-phan-tap-doan-hoa-sen-tai-phong-dien-thua-thien-hue
Miền Trung,Miền Trung,Huế,CÔNG TY TNHH QUỐC TẾ TÂM ANOKI,"TAM ANOKI CO.,LTD",TAM ANOKI INTERNATIONAL COMPANY LIMITED,3301633509,"200 Phò Trạch, Tổ dân phố Khánh Mỹ, Thị Trấn Phong Điền, Huyện Phong Điền, Tỉnh Thừa Thiên Huế, Việt Nam",PHẠM THỊ HIỀN,0975934591,2018-09-05,Thị xã Phong Điền - Đội Thuế liên huyện Hương Điền,Công ty trách nhiệm hữu hạn ngoài NN,Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,2025-03-17 16:46:04,Sản xuất sản phẩm hoá chất khác chưa được phân vào đâu,"2029, 4649, 4669, 4789","Sản xuất sản phẩm hoá chất khác chưa được phân vào đâu, Bán buôn đồ dùng khác cho gia đình, Bán buôn chuyên doanh khác chưa được phân vào đâu, Bán lẻ hàng hóa khác lưu động hoặc tại chợ",/3301633509-cong-ty-tnhh-quoc-te-tam-anoki
Miền Trung,Miền Trung,Huế,CÔNG TY TNHH MỘT THÀNH VIÊN CÔNG NGHỆ SINH HỌC HOÀNG GIA,,,3301585911,"330 Phò Trạch , Thị Trấn Phong Điền, Huyện Phong Điền, Tỉnh Thừa Thiên Huế, Việt Nam",Hoàng Thị Kim Anh (Oanh),0546503900 - 0913,2016-03-25,Thị xã Phong Điền - Đội Thuế liên huyện Hương Điền,Công ty trách nhiệm hữu hạn ngoài NN,Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,2025-03-16 23:50:01,"Trồng rau, đậu các loại và trồng hoa, cây cảnh","0118, 7729","Trồng rau, đậu các loại và trồng hoa, cây cảnh, Cho thuê đồ dùng cá nhân và gia đình khác",/3301585911-cong-ty-tnhh-mot-thanh-vien-cong-nghe-sinh-hoc-hoang-gia
