mien,khu_vuc,tinh,name,name_short,name_global,tax,address,representative,phone,active_date,manage_by,category,status,last_update,conpany_briefcase,career_code,career_name,slug
Miền Trung,Miền Trung,Huế,CÔNG TY TNHH KIM SORA - CHI NHÁNH PHÚ LỘC,,,0401698328-003,"Lô D Khu Quy hoạch Chợ Cầu Hai, Thị Trấn Phú Lộc, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",DƯƠNG THỊ NHẠN,,2022-01-11,Thành phố Huế - VP Chi cục Thuế khu vực XII,,Ngừng hoạt động và đã đóng MST,2025-06-22 06:25:02,"Bán buôn vải, hàng may sẵn, giày dép","1410, 4641, 4669, 4771, 6810","May trang phục (trừ trang phục từ da lông thú), Bán buôn vải, hàng may sẵn, giày dép, Bán buôn chuyên doanh khác chưa được phân vào đâu, Bán lẻ hàng may mặc, giày dép, hàng da và giả da trong các cửa hàng chuyên doanh, Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",/0401698328-003-cong-ty-tnhh-kim-sora-chi-nhanh-phu-loc
Miền Trung,Miền Trung,Huế,CÔNG TY TRÁCH NHIỆM HỮU HẠN VẬN TẢI VÀ SAN LẤP HẢI ĐĂNG,CTY TNHH VT VÀ SL HẢI ĐĂNG,,3301708761,"Đường Hoàng Đức Trạch, Tổ dân phố 3, Thị Trấn Phú Lộc, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",NGUYỄN THỊ THỦY,,2022-01-26,Đội Thuế huyện Phú Lộc,Công ty trách nhiệm hữu hạn ngoài NN,Tạm nghỉ kinh doanh có thời hạn,,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng","4101, 4102, 4212, 4221, 4222, 4299, 4311, 4312, 4321, 4322, 4329, 4330, 4390, 4511, 4632, 4663, 4931, 4932, 4933","Xây dựng nhà để ở, Xây dựng nhà không để ở, Xây dựng công trình đường bộ, Xây dựng công trình điện, Xây dựng công trình cấp, thoát nước, Xây dựng công trình kỹ thuật dân dụng khác, Phá dỡ, Chuẩn bị mặt bằng, Lắp đặt hệ thống điện, Lắp đặt hệ thống cấp, thoát nước, lò sưởi và điều hoà không khí, Lắp đặt hệ thống xây dựng khác, Hoàn thiện công trình xây dựng, Hoạt động xây dựng chuyên dụng khác, Bán buôn ô tô và xe có động cơ khác, Bán buôn thực phẩm, Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng, Vận tải hành khách đường bộ trong nội thành, ngoại thành (trừ vận tải bằng xe buýt), Vận tải hành khách đường bộ khác, Vận tải hàng hóa bằng đường bộ",/3301708761-cong-ty-trach-nhiem-huu-han-van-tai-va-san-lap-hai-dang
Miền Trung,Miền Trung,Huế,CHI NHÁNH PHÚ LỘC THUỘC CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TIN HỌC ĐIỆN TỬ VIỄN THÔNG ĐỒNG HÀNH,,,3300529086-001,"Quốc lộ 1A khu vực II, Thị Trấn Phú Lộc, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",HUỲNH NGỌC SÁNG,0543816316,2009-09-22,Chi cục Thuế Thành phố Huế,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Không hoạt động tại địa chỉ đăng ký,2024-06-20 09:34:15,"Bán buôn thiết bị và linh kiện điện tử, viễn thông","4651, 4652, 6201, 6202, 7730, 8532, 9511","Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm, Bán buôn thiết bị và linh kiện điện tử, viễn thông, Lập trình máy vi tính, Tư vấn máy vi tính và quản trị hệ thống máy vi tính, Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác, Đào tạo trung cấp, Sửa chữa máy vi tính và thiết bị ngoại vi",/3300529086-001-chi-nhanh-phu-loc-thuoc-cong-ty-tnhh-thuong-mai-dich-vu-tin-hoc-dien-tu-vien-thong-dong-hanh
Miền Trung,Miền Trung,Huế,CÔNG TY TNHH MTV TÔN LÂM QUÝ,,,3301675731,"236 Lý Thánh Tông, Thị Trấn Phú Lộc, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",NGUYỄN NGỌC NAM,0935747780,2020-05-21,Đội Thuế huyện Phú Lộc,Công ty trách nhiệm hữu hạn ngoài NN,Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,2025-06-11 17:37:01,"Bán lẻ đồ ngũ kim, sơn, kính và thiết bị lắp đặt khác trong xây dựng trong các cửa hàng chuyên doanh","4649, 4659, 4662, 4663, 4752, 4753, 4759","Bán buôn đồ dùng khác cho gia đình, Bán buôn máy móc, thiết bị và phụ tùng máy khác, Bán buôn kim loại và quặng kim loại, Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng, Bán lẻ đồ ngũ kim, sơn, kính và thiết bị lắp đặt khác trong xây dựng trong các cửa hàng chuyên doanh, Bán lẻ thảm, đệm, chăn, màn, rèm, vật liệu phủ tường và sàn trong các cửa hàng chuyên doanh, Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu trong các cửa hàng chuyên doanh",/3301675731-cong-ty-tnhh-mtv-ton-lam-quy
Miền Trung,Miền Trung,Huế,CÔNG TY TNHH SUPERSHIP PHÚ LỘC - THỪA THIÊN HUẾ,,SUPERSHIP PHU LOC THUATHIENHUE COMPANY LIMITED,3301675594,"86 Lý Thánh Tông, Thị Trấn Phú Lộc, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",LÊ TIẾN,0344889119,2020-05-20,Đội Thuế huyện Phú Lộc,Công ty trách nhiệm hữu hạn ngoài NN,Ngừng hoạt động và đã đóng MST,2025-06-11 17:07:01,Vận tải hàng hóa bằng đường bộ,"4610, 4931, 4932, 4933, 5221, 5224, 5229, 5310","Đại lý, môi giới, đấu giá, Vận tải hành khách đường bộ trong nội thành, ngoại thành (trừ vận tải bằng xe buýt), Vận tải hành khách đường bộ khác, Vận tải hàng hóa bằng đường bộ, Hoạt động dịch vụ hỗ trợ trực tiếp cho vận tải đường sắt và đường bộ, Bốc xếp hàng hóa, Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải, Bưu chính",/3301675594-cong-ty-tnhh-supership-phu-loc-thua-thien-hue
Miền Trung,Miền Trung,Huế,CÔNG TY TNHH MTV TÂM QUANG PHÚ,"TAM QUANG PHU CO.,LTD",TAM QUANG PHU ONE MEMBER COMPANY LIMITED,3301674167,"267 Lý Thánh Tông, Thị Trấn Phú Lộc, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",NGUYỄN THỊ CẨM NGÂN,0911867877,2020-04-28,Đội Thuế huyện Phú Lộc,Công ty trách nhiệm hữu hạn ngoài NN,Không hoạt động tại địa chỉ đã đăng ký,2025-06-11 09:14:01,May trang phục (trừ trang phục từ da lông thú),"1393, 1399, 1410, 1430, 1512, 1520, 1629, 2592, 2599, 3100, 4641, 4649","Sản xuất thảm, chăn, đệm, Sản xuất các loại hàng dệt khác chưa được phân vào đâu, May trang phục (trừ trang phục từ da lông thú), Sản xuất trang phục dệt kim, đan móc, Sản xuất vali, túi xách và các loại tương tự, sản xuất yên đệm, Sản xuất giày dép, Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện, Gia công cơ khí; xử lý và tráng phủ kim loại, Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu, Sản xuất giường, tủ, bàn, ghế, Bán buôn vải, hàng may sẵn, giày dép, Bán buôn đồ dùng khác cho gia đình",/3301674167-cong-ty-tnhh-mtv-tam-quang-phu
Miền Trung,Miền Trung,Huế,CÔNG TY TNHH VUI CHƠI GIẢI TRÍ PHÚ LỘC,,,3301672628,"Tổ dân phố 6, Thị Trấn Phú Lộc, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",NGUYỄN ĐÌNH DŨNG,0972882971,2020-03-18,Đội Thuế huyện Phú Lộc,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Không hoạt động tại địa chỉ đã đăng ký,2025-06-11 00:52:01,Hoạt động vui chơi giải trí khác chưa được phân vào đâu,"5610, 9329","Nhà hàng và các dịch vụ ăn uống phục vụ lưu động, Hoạt động vui chơi giải trí khác chưa được phân vào đâu",/3301672628-cong-ty-tnhh-vui-choi-giai-tri-phu-loc
Miền Trung,Miền Trung,Huế,VĂN PHÒNG ĐẠI DIỆN - CÔNG TY TNHH MTV ĐẠI LÝ BẢO HIỂM NHÂN THỌ THIÊN HƯNG,,,3301598011-001,"188 Lý Thánh Tông - Tổ Dân phố 4, Thị Trấn Phú Lộc, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",ĐỖ VĂN BIÊN,,2019-11-14,Thành phố Huế - VP Chi cục Thuế khu vực XII,Công ty trách nhiệm hữu hạn ngoài NN,Ngừng hoạt động và đã đóng MST,2025-06-10 13:18:01,,,,/3301598011-001-van-phong-dai-dien-cong-ty-tnhh-mtv-dai-ly-bao-hiem-nhan-tho-thien-hung
Miền Trung,Miền Trung,Huế,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HOÀ AN - CỬA HÀNG GIỚI THIỆU SẢN PHẨM,,,0309118818-007,"238 đường Lý Thánh Tông, Thị Trấn Phú Lộc, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",NGUYỄN THỊ TRÀ MY,,2019-10-02,Đội Thuế huyện Phú Lộc,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),2025-06-10 07:49:01,Lắp đặt hệ thống xây dựng khác,"1104, 1621, 2511, 2512, 2513, 2592, 2599, 3312, 3320, 4312, 4321, 4329, 4330, 4620, 4632, 4649, 4651, 4652, 4659, 4662, 4663, 4669, 7110, 7410, 9512","Sản xuất đồ uống không cồn, nước khoáng, Sản xuất gỗ dán, gỗ lạng, ván ép và ván mỏng khác, Sản xuất các cấu kiện kim loại, Sản xuất thùng, bể chứa và dụng cụ chứa đựng bằng kim loại, Sản xuất nồi hơi (trừ nồi hơi trung tâm), Gia công cơ khí; xử lý và tráng phủ kim loại, Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu, Sửa chữa máy móc, thiết bị, Lắp đặt máy móc và thiết bị công nghiệp, Chuẩn bị mặt bằng, Lắp đặt hệ thống điện, Lắp đặt hệ thống xây dựng khác, Hoàn thiện công trình xây dựng, Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống, Bán buôn thực phẩm, Bán buôn đồ dùng khác cho gia đình, Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm, Bán buôn thiết bị và linh kiện điện tử, viễn thông, Bán buôn máy móc, thiết bị và phụ tùng máy khác, Bán buôn kim loại và quặng kim loại, Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng, Bán buôn chuyên doanh khác chưa được phân vào đâu, Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan, Hoạt động thiết kế chuyên dụng, Sửa chữa thiết bị liên lạc",/0309118818-007-chi-nhanh-cong-ty-tnhh-thuong-mai-dich-vu-hoa-an-cua-hang-gioi-thieu-san-pham
Miền Trung,Miền Trung,Huế,CÔNG TY TNHH HOÀNG NGỌC TRÚC - CHI NHÁNH HUẾ,HNT - CN HUẾ,HOANG NGOC TRUC COMPANY LIMITED - HUE BRANCH,0306704571-003,"Lô D, khu quy hoạch chợ Cầu Hai , Thị Trấn Phú Lộc, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",TRƯƠNG VÂN BỘI TRÂN,02343684535,2019-12-04,Đội Thuế huyện Phú Lộc,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Ngừng hoạt động và đã đóng MST,2025-06-09 20:05:02,"Sản xuất trang phục dệt kim, đan móc","1410, 1430, 2826, 4641, 4649, 4659","May trang phục (trừ trang phục từ da lông thú), Sản xuất trang phục dệt kim, đan móc, Sản xuất máy cho ngành dệt, may và da, Bán buôn vải, hàng may sẵn, giày dép, Bán buôn đồ dùng khác cho gia đình, Bán buôn máy móc, thiết bị và phụ tùng máy khác",/0306704571-003-cong-ty-tnhh-hoang-ngoc-truc-chi-nhanh-hue
