mien,khu_vuc,tinh,name,name_short,name_global,tax,address,representative,phone,active_date,manage_by,category,status,last_update,conpany_briefcase,career_code,career_name,slug
Miền Trung,Miền Trung,Huế,CÔNG TY TNHH MTV THƯƠNG MẠI VÀ DỊCH VỤ PHAN THIỆN PHÚC,CTY TNHH MTV PHAN THIỆN PHÚC,PHAN THIEN PHUC TRADING AND SERVICE ONE MEMBER LIMITED LIABILITY COMPANY,3301596857,"Thôn Bồ Điền, Xã Phong An, Huyện Phong Điền, Tỉnh Thừa Thiên Huế, Việt Nam",PHAN VĂN ĐƯỢC,,2016-11-02,Thị xã Phong Điền - Đội Thuế liên huyện Hương Điền,Công ty trách nhiệm hữu hạn ngoài NN,Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,2025-05-23 01:15:01,Vận tải hàng hóa bằng đường bộ,"1622, 4312, 4661, 4663, 4933","Sản xuất đồ gỗ xây dựng, Chuẩn bị mặt bằng, Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan, Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng, Vận tải hàng hóa bằng đường bộ",/3301596857-cong-ty-tnhh-mtv-thuong-mai-va-dich-vu-phan-thien-phuc
Miền Trung,Miền Trung,Huế,DOANH NGHIỆP TƯ NHÂN PHƯƠNG LONG,,,3300483963,"Xã Phong An, Huyện Phong Điền, Tỉnh Thừa Thiên Huế, Việt Nam",NGUYỄN ĐÌNH QUẾ,054.562855,2007-04-09,Thị xã Phong Điền - Đội Thuế liên huyện Hương Điền,Doanh nghiệp tư nhân,Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,2025-05-22 14:45:01,,,,/3300483963-doanh-nghiep-tu-nhan-phuong-long
Miền Trung,Miền Trung,Huế,CÔNG TY THƯƠNG MẠI TỔNG HỢP PHONG QUẢNG THỪA THIÊN- HUẾ,,,3300100297,"Xã Phong an, , Thị xã Phong Điền, Thành phố Huế",Đỗ Trọng Phấn,054-857115,1994-11-10,Thành phố Huế - VP Chi cục Thuế khu vực XII,Nhà nước,Ngừng hoạt động và đã đóng MST,2025-05-22 12:57:02,,,,/3300100297-cong-ty-thuong-mai-tong-hop-phong-quang-thua-thien-hue
Miền Trung,Miền Trung,Huế,DOANH NGHIỆP TƯ NHÂN PHÚC TIẾN,,,3300362895,"Bồ Điền, Xã Phong An, Huyện Phong Điền, Tỉnh Thừa Thiên Huế, Việt Nam",NGUYỄN CHÁNH PHÚC,551018,2004-02-05,Thị xã Phong Điền - Đội Thuế liên huyện Hương Điền,Doanh nghiệp tư nhân,Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,2025-05-22 11:13:01,,,,/3300362895-doanh-nghiep-tu-nhan-phuc-tien
Miền Trung,Miền Trung,Huế,DOANH NGHIỆP TƯ NHÂN THƯƠNG TÍN,,,3300368865,"Chợ Phò Ninh, Xã Phong An, Huyện Phong Điền, Tỉnh Thừa Thiên Huế, Việt Nam",PHAN THỊ HẠNH,562050,2006-06-08,Thị xã Phong Điền - Đội Thuế liên huyện Hương Điền,Doanh nghiệp tư nhân,Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,2025-05-22 10:22:02,,,,/3300368865-doanh-nghiep-tu-nhan-thuong-tin
Miền Trung,Miền Trung,Huế,HỢP TÁC XÃ NÔNG NGHIỆP BỒ ĐIỀN,,,3301371814,"Thôn Bồ Điền, Phường Phong An, Thị xã Phong Điền, Thành phố Huế",Phan Hải Phong,,2011-12-16,Thị xã Phong Điền - Đội Thuế liên huyện Hương Điền,Hợp tác xã,Không hoạt động tại địa chỉ đã đăng ký,2025-05-21 19:39:02,,,,/3301371814-hop-tac-xa-nong-nghiep-bo-dien
Miền Trung,Miền Trung,Huế,TRƯỜNG MẦM NON PHONG AN I,,,3301449789,"Phong An, Phường Phong An, Thị xã Phong Điền, Thành phố Huế",Hồ Thị Thu Hà,,2012-04-26,Thị xã Phong Điền - Đội Thuế liên huyện Hương Điền,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),2025-05-21 19:14:02,,,,/3301449789-truong-mam-non-phong-an-i
Miền Trung,Miền Trung,Huế,TRƯỜNG MẦM NON PHONG AN 2,,,3301453792,"Phò Ninh, Phường Phong An, Thị xã Phong Điền, Thành phố Huế",Hoàng Thị Sông Hương,0913336177,2012-05-07,Thị xã Phong Điền - Đội Thuế liên huyện Hương Điền,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),2025-05-21 19:09:02,,,,/3301453792-truong-mam-non-phong-an-2
Miền Trung,Miền Trung,Huế,TRƯỜNG THPT NGUYỄN ĐÌNH CHIỂU,,,3300878520,"Xã Phong An, Phường Phong An, Thị xã Phong Điền, Thành phố Huế",Mai Trọng Đạt,0543551245,2009-03-28,Thị xã Phong Điền - Đội Thuế liên huyện Hương Điền,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),2025-05-21 16:28:01,,,,/3300878520-truong-thpt-nguyen-dinh-chieu
Miền Trung,Miền Trung,Huế,TRƯỜNG MẦM NON PHONG AN,,,3300877911,"Xã Phong An, , Thị xã Phong Điền, Thành phố Huế",Phan Thị Tanh,054.3551881,2009-03-28,Thị xã Phong Điền - Đội Thuế liên huyện Hương Điền,"Đơn vị hành chính, đơn vị sự nghiệp",Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,2025-05-21 16:26:02,,,,/3300877911-truong-mam-non-phong-an
