mien,khu_vuc,tinh,name,name_short,name_global,tax,address,representative,phone,active_date,manage_by,category,status,last_update,conpany_briefcase,career_code,career_name,slug
Miền Trung,Miền Trung,Huế,CÔNG TY CỔ PHẦN DTA 777 HUẾ,,,3301642704,"Thôn Bắc Triều Vịnh, Phường Phong Hiền, Thị xã Phong Điền, Thành phố Huế",Trịnh Thị Dung,02346271666,2019-01-03,Thành phố Huế - VP Chi cục Thuế khu vực XII,Công ty cổ phần ngoài NN,Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,2025-06-05 20:02:01,Xây dựng nhà để ở,"0121, 0128, 0145, 0146, 0150, 0210, 0322, 0810, 1629, 3100, 3700, 4101, 4102, 4212, 4221, 4222, 4223, 4229, 4291, 4292, 4293, 4299, 4311, 4312, 4321, 4322, 4329, 4330, 4649, 4663, 4933, 5012, 5022, 5210, 5224","Trồng cây ăn quả, Trồng cây gia vị, cây dược liệu, Chăn nuôi lợn, Chăn nuôi gia cầm, Trồng trọt, chăn nuôi hỗn hợp, Trồng rừng và chăm sóc rừng, Nuôi trồng thuỷ sản nội địa, Khai thác đá, cát, sỏi, đất sét, Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện, Sản xuất giường, tủ, bàn, ghế, Thoát nước và xử lý nước thải, Xây dựng nhà để ở, Xây dựng nhà không để ở, Xây dựng công trình đường bộ, Xây dựng công trình điện, Xây dựng công trình cấp, thoát nước, Xây dựng công trình viễn thông, thông tin liên lạc, Xây dựng công trình công ích khác, Xây dựng công trình thủy, Xây dựng công trình khai khoáng, Xây dựng công trình chế biến, chế tạo, Xây dựng công trình kỹ thuật dân dụng khác, Phá dỡ, Chuẩn bị mặt bằng, Lắp đặt hệ thống điện, Lắp đặt hệ thống cấp, thoát nước, lò sưởi và điều hoà không khí, Lắp đặt hệ thống xây dựng khác, Hoàn thiện công trình xây dựng, Bán buôn đồ dùng khác cho gia đình, Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng, Vận tải hàng hóa bằng đường bộ, Vận tải hàng hóa ven biển và viễn dương, Vận tải hàng hóa đường thuỷ nội địa, Kho bãi và lưu giữ hàng hóa, Bốc xếp hàng hóa",/3301642704-cong-ty-co-phan-dta-777-hue
Miền Trung,Miền Trung,Huế,CÔNG TY TNHH 1TV CÂY XANH PHÚC TẤN,,,3301630057,"An Lỗ, Xã Phong Hiền, Huyện Phong Điền, Tỉnh Thừa Thiên Huế, Việt Nam",TRẦN ĐÌNH TIẾN,,2018-06-22,Thị xã Phong Điền - Đội Thuế liên huyện Hương Điền,Công ty trách nhiệm hữu hạn ngoài NN,Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,2025-06-05 18:51:02,"Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống","0129, 0149, 0161, 0210, 0322, 2393, 2396, 4220, 4390, 4620, 4649, 4773, 5210, 8130, 8559, 9321","Trồng cây lâu năm khác, Chăn nuôi khác, Hoạt động dịch vụ trồng trọt, Trồng rừng và chăm sóc rừng, Nuôi trồng thuỷ sản nội địa, Sản xuất sản phẩm gốm sứ khác, Cắt tạo dáng và hoàn thiện đá, Xây dựng công trình công ích, Hoạt động xây dựng chuyên dụng khác, Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống, Bán buôn đồ dùng khác cho gia đình, Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh, Kho bãi và lưu giữ hàng hóa, Dịch vụ chăm sóc và duy trì cảnh quan, Giáo dục khác chưa được phân vào đâu, Hoạt động của các công viên vui chơi và công viên theo chủ đề",/3301630057-cong-ty-tnhh-1tv-cay-xanh-phuc-tan
Miền Trung,Miền Trung,Huế,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN VÂN TIẾN,,,3301637856,"Thôn An Lỗ, Xã Phong Hiền, Huyện Phong Điền, Tỉnh Thừa Thiên Huế, Việt Nam",LÊ HỮU TIẾN,0935020522,2018-11-30,Thị xã Phong Điền - Đội Thuế liên huyện Hương Điền,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),2025-06-05 08:33:01,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng","0810, 2391, 2392, 2395, 2396, 2399, 3100, 4101, 4102, 4211, 4212, 4221, 4222, 4223, 4229, 4291, 4292, 4293, 4299, 4311, 4312, 4321, 4322, 4329, 4330, 4390, 4633, 4641, 4649, 4663, 4669, 4751, 4752, 4759, 7730","Khai thác đá, cát, sỏi, đất sét, Sản xuất sản phẩm chịu lửa, Sản xuất vật liệu xây dựng từ đất sét, Sản xuất bê tông và các sản phẩm từ xi măng và thạch cao, Cắt tạo dáng và hoàn thiện đá, Sản xuất sản phẩm từ chất khoáng phi kim loại khác chưa được phân vào đâu, Sản xuất giường, tủ, bàn, ghế, Xây dựng nhà để ở, Xây dựng nhà không để ở, Xây dựng công trình đường sắt, Xây dựng công trình đường bộ, Xây dựng công trình điện, Xây dựng công trình cấp, thoát nước, Xây dựng công trình viễn thông, thông tin liên lạc, Xây dựng công trình công ích khác, Xây dựng công trình thủy, Xây dựng công trình khai khoáng, Xây dựng công trình chế biến, chế tạo, Xây dựng công trình kỹ thuật dân dụng khác, Phá dỡ, Chuẩn bị mặt bằng, Lắp đặt hệ thống điện, Lắp đặt hệ thống cấp, thoát nước, lò sưởi và điều hoà không khí, Lắp đặt hệ thống xây dựng khác, Hoàn thiện công trình xây dựng, Hoạt động xây dựng chuyên dụng khác, Bán buôn đồ uống, Bán buôn vải, hàng may sẵn, giày dép, Bán buôn đồ dùng khác cho gia đình, Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng, Bán buôn chuyên doanh khác chưa được phân vào đâu, Bán lẻ vải, len, sợi, chỉ khâu và hàng dệt khác trong các cửa hàng chuyên doanh, Bán lẻ đồ ngũ kim, sơn, kính và thiết bị lắp đặt khác trong xây dựng trong các cửa hàng chuyên doanh, Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu trong các cửa hàng chuyên doanh, Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác",/3301637856-cong-ty-tnhh-dau-tu-va-phat-trien-van-tien
Miền Trung,Miền Trung,Huế,NGUYỄN CÔNG VŨ,,,3300300666,"Thị xã Phong Điền, Thành phố Huế",Nguyễn Công Phi Vũ,,2009-11-23,Chi cục Thuế khu vực Hương Điền,Hộ kinh doanh cá thể,Đang hoạt động (đã được cấp GCN ĐKT),2025-03-02 07:56:06,,,,/3300300666-nguyen-cong-phi-vu
Miền Trung,Miền Trung,Huế,ĐỘI THUẾ SỐ 3,,,3301216978,"Thị xã Phong Điền, Thành phố Huế",Đội Thuế số 3,,2010-06-22,Chi cục Thuế khu vực Hương Điền,Hộ kinh doanh cá thể,Đang hoạt động (đã được cấp GCN ĐKT),2025-02-12 01:14:35,,,,/3301216978-doi-thue-so-3
Miền Trung,Miền Trung,Huế,TRƯỜNG TIỂU HỌC ĐÔNG HIỀN,,,3301516097,"Phong Hiền, Phường Phong Hiền, Thị xã Phong Điền, Thành phố Huế",Nguyễn Đại ánh,0543551086,2013-03-28,Thị xã Phong Điền - Đội Thuế liên huyện Hương Điền,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),2025-05-29 23:53:02,,,,/3301516097-truong-tieu-hoc-dong-hien
Miền Trung,Miền Trung,Huế,CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT VÀ THƯƠNG MẠI NHÂN TÍN,,,3301522975,"Thôn Gia Viên, Xã Phong Hiền, Huyện Phong Điền, Tỉnh Thừa Thiên Huế, Việt Nam",NGÔ THỊ NHÂN,0974344617,2013-09-20,Thị xã Phong Điền - Đội Thuế liên huyện Hương Điền,Công ty trách nhiệm hữu hạn ngoài NN,Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,2025-05-29 23:48:01,Xử lý và tiêu huỷ rác thải không độc hại,"0150, 0210, 2029, 3811, 3821, 4669","Trồng trọt, chăn nuôi hỗn hợp, Trồng rừng và chăm sóc rừng, Sản xuất sản phẩm hoá chất khác chưa được phân vào đâu, Thu gom rác thải không độc hại, Xử lý và tiêu huỷ rác thải không độc hại, Bán buôn chuyên doanh khác chưa được phân vào đâu",/3301522975-cong-ty-tnhh-mot-thanh-vien-san-xuat-va-thuong-mai-nhan-tin
Miền Trung,Miền Trung,Huế,TRƯỜNG MẦM NON PHONG HIỀN II,,,3301526923,"Sơn Tùng, Phường Phong Hiền, Thị xã Phong Điền, Thành phố Huế",Hoàng Thị Lê,0543552499,2013-12-02,Thị xã Phong Điền - Đội Thuế liên huyện Hương Điền,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),2025-05-29 23:47:01,,,,/3301526923-truong-mam-non-phong-hien-ii
Miền Trung,Miền Trung,Huế,TRƯỜNG MẦM NON PHONG HIỀN I,,,3301526930,"An Lỗ, Phường Phong Hiền, Thị xã Phong Điền, Thành phố Huế",Hồ Thị Hiền,,2013-12-02,Thị xã Phong Điền - Đội Thuế liên huyện Hương Điền,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),2025-05-29 23:47:01,,,,/3301526930-truong-mam-non-phong-hien-i
Miền Trung,Miền Trung,Huế,DOANH NGHIỆP TƯ NHÂN NGUYÊN KÍNH,,,3301545394,"An Lỗ, Xã Phong Hiền, Huyện Phong Điền, Tỉnh Thừa Thiên Huế, Việt Nam",THÂN NGUYÊN KÍNH,0903 548 009,2014-04-25,Thị xã Phong Điền - Đội Thuế liên huyện Hương Điền,Doanh nghiệp tư nhân,Ngừng hoạt động và đã đóng MST,2025-05-29 23:42:01,"Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh",4741,"Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh",/3301545394-doanh-nghiep-tu-nhan-nguyen-kinh
